ID,SMILES,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-Î³,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
1,Cc1ccccc1,0.497,0.565,0.507,0.478,0.51,0.509,0.441,0.505,0.484,0.435,0.54,0.588
2,CCO,0.513,0.568,0.481,0.456,0.391,0.524,0.439,0.596,0.418,0.407,0.533,0.534
3,CC(=O)O,0.573,0.376,0.458,0.423,0.431,0.466,0.478,0.475,0.471,0.393,0.484,0.471
4,C1CCCCC1,0.459,0.534,0.508,0.452,0.494,0.452,0.488,0.47,0.51,0.46,0.566,0.586
5,Cc1ccccc1O,0.54,0.468,0.466,0.382,0.51,0.553,0.468,0.434,0.45,0.409,0.595,0.521
6,CCN(CC)C(=O)C1CCCCC1,0.491,0.412,0.501,0.391,0.389,0.423,0.466,0.386,0.464,0.506,0.561,0.495
7,C1=CC=C(C=C1)C=O,0.427,0.487,0.535,0.431,0.433,0.534,0.505,0.475,0.492,0.542,0.57,0.449
8,CC(=O)NC1=CC=CC=C1,0.52,0.483,0.453,0.441,0.42,0.595,0.491,0.386,0.567,0.438,0.559,0.548
9,CN1CCCC1=O,0.484,0.414,0.459,0.411,0.384,0.469,0.472,0.474,0.493,0.437,0.571,0.493
10,C1=CC=C2C(=C1)C=CC=C2,0.403,0.523,0.521,0.417,0.464,0.529,0.493,0.471,0.514,0.484,0.594,0.51
